,,"Bước 1",,,,,,,,,,"Bước 2",,,,,,,,,,"Bước 3",,,,,,,,,,"Bước 4",,,,,,,,,,,"Bước 5",,,,,,,,
Ngày,"Cơ sở","Đầu ngày",Mới,"Xử lý","Cuối ngày",24H,"Quá 24H",OUT,Chờ,Mất,,"Đầu ngày",Mới,"Xử lý","Cuối ngày","Sắp KT","Quá hạn",Out,Chờ,Mất,,"Đầu ngày",Mới,"Xử lý","Cuối ngày","Ktra 48H","Quá 48H","Không chấm",Chờ,Mất,,"Đầu ngày",Mới,"Xử lý","Cuối ngày","Chưa liên lạc","Lần 1","Lần 2","Lần 3",Chờ,Mất,,"Đầu ngày",Mới,"Xử lý","Cuối ngày","Sắp N.Học","Quá hạn N.Học","Thất bại",Chờ,Mất
2021-06-09,DQ,1,0,0,1,0,0,1,0,0,,8,0,5,3,0,0,3,0,0,,10,6,4,12,5,4,3,0,0,,3,4,0,7,0,5,0,2,0,0,,9,0,0,9,0,9,0,0,0,
2021-06-09,TY,7,6,13,0,0,0,0,0,0,,18,13,1,30,24,3,3,0,0,,7,1,4,4,1,3,0,0,0,,15,4,6,13,4,0,2,7,0,0,,20,6,0,26,6,20,0,0,0,
2021-06-10,TDH,5,13,13,5,0,0,5,0,0,,12,18,9,21,1,18,2,0,0,,30,9,2,37,9,21,7,0,0,,17,4,2,19,1,10,5,3,0,0,,22,4,0,26,2,24,0,0,0,

2021-06-10,PTT,4,1,5,0,0,0,0,0,0,,6,5,2,9,9,0,0,0,0,,2,2,1,3,2,1,0,0,0,,4,1,0,5,4,1,0,0,0,0,,1,0,0,1,0,1,0,0,0,
2021-06-10,DQ,1,0,0,1,0,0,1,0,0,,3,0,0,3,0,0,3,0,0,,12,0,0,12,0,9,3,0,0,,7,0,0,7,0,5,0,2,0,0,,9,0,0,9,0,9,0,0,0,
2021-06-10,TY,0,5,5,0,0,0,0,0,0,,25,5,0,30,21,0,9,0,0,,0,0,0,0,0,0,0,0,0,,14,0,5,9,0,0,0,9,0,0,,21,5,0,26,5,21,0,0,0,
2021-06-11,TDH,5,4,3,6,1,0,5,0,0,,9,6,3,12,3,7,2,0,0,,36,4,1,39,3,29,7,0,0,,19,1,1,19,1,10,5,3,0,0,,27,1,0,28,1,27,0,0,0,

2021-06-11,PTT,3,6,9,0,0,0,0,0,0,,6,9,0,15,15,0,0,0,0,,0,0,0,0,0,0,0,0,0,,6,0,1,5,4,1,0,0,0,0,,0,1,0,1,1,0,0,0,0,
