Mã(*),"Tên (*)","Tính chất","Đơn vị tính chính","TK doanh thu","TK chi phí"
171,2020_V6.3,2,Ca,3387,632
172,2020_V6.2,2,Ca,3387,632
173,2020_A3.1,2,Ca,3387,632
174,2020_V7.2,2,Ca,3387,632
175,2020_A7.2,2,Ca,3387,632
178,2020_TST9.1,2,Ca,3387,632
179,2020_A6.2,2,Ca,3387,632
180,2020_AC4.5,2,Ca,3387,632
181,2020_AC6.3,2,Ca,3387,632
182,2020_TC6.0,2,Ca,3387,632
183,2020_TC7.0,2,Ca,3387,632
185,2020_HOMC,2,Ca,3387,632
186,2020_T2091,2,Ca,3387,632
187,2020_T2061,2,Ca,3387,632
188,2020_IMSO6,2,Ca,3387,632
189,2020_ANC3.2,2,Ca,3387,632
190,2020_A5.2,2,Ca,3387,632
191,2020_A3.2,2,Ca,3387,632
192,2020_T3.2,2,Ca,3387,632
193,2020_V8.2,2,Ca,3387,632
194,2020_TNC3.3,2,Ca,3387,632
195,2020_T2092,2,Ca,3387,632
196,2020_Su9.1,2,Ca,3387,632
197,2020_TVCT5,2,Ca,3387,632
198,2020_T2062,2,Ca,3387,632
199,2020_T2093,2,Ca,3387,632
200,2020_VC7.1,2,Ca,3387,632
201,2020_TNC8.6,2,Ca,3387,632
202,2021_TC4.1,2,Ca,3387,632
203,2021_AC5.1,2,Ca,3387,632
204,2021_VC5.1,2,Ca,3387,632
205,2021_TC5.3,2,Ca,3387,632
206,2021_TC5.1,2,Ca,3387,632
207,2021_VC5.9,2,Ca,3387,632
208,2021_AC5.3,2,Ca,3387,632
209,2021_TNC4.1,2,Ca,3387,632
210,2021_V4.1,2,Ca,3387,632
211,2021_AC4.3,2,Ca,3387,632
212,2021_TNC3.1,2,Ca,3387,632
213,2021_AC5.5,2,Ca,3387,632
214,2021_TC5.7,2,Ca,3387,632
215,2020_TC4.1,2,Ca,3387,632
216,2021_AC4.1,2,Ca,3387,632
217,2021_VC4.1,2,Ca,3387,632
218,2021_VC5.3,2,Ca,3387,632
221,2021_TC7.4,2,Ca,3387,632
222,2021_A8.2,2,Ca,3387,632
223,2021_TC5.4,2,Ca,3387,632
224,2021_A7.2,2,Ca,3387,632
225,2021_TNC8.2,2,Ca,3387,632
226,2021_V9.2,2,Ca,3387,632
227,2021_TC7.2,2,Ca,3387,632
228,2021_TC9.4,2,Ca,3387,632
229,2021_TNC5.1,2,Ca,3387,632
230,2021_TNC9.6,2,Ca,3387,632
231,2021_TC9.3,2,Ca,3387,632
232,2021_T11.3,2,Ca,3387,632
233,2021_V7.3,2,Ca,3387,632
234,2021_TC8.3,2,Ca,3387,632
235,2021_TC9.1,2,Ca,3387,632
236,2021_TC8.7,2,Ca,3387,632
237,2021_AC9.3,2,Ca,3387,632
238,2021_LC9.3,2,Ca,3387,632
239,2021_TC7.3,2,Ca,3387,632
240,2021_V8.1,2,Ca,3387,632
241,2021_TNC8.1,2,Ca,3387,632
242,2021_VC5.5,2,Ca,3387,632
243,2021_V3.1,2,Ca,3387,632
245,2021_A3.1,2,Ca,3387,632
248,2021_T9.1,2,Ca,3387,632
249,2021_TNC9.1,2,Ca,3387,632
250,2021_TNC9.3,2,Ca,3387,632
251,2021_A7.1,2,Ca,3387,632
252,2021_AC7.2,2,Ca,3387,632
253,2021_V8.2,2,Ca,3387,632
254,2021_HC9.2,2,Ca,3387,632
255,2021_TC9.2,2,Ca,3387,632
256,2021_TC6.2,2,Ca,3387,632
257,2021_TNC9.4,2,Ca,3387,632
258,2021_AC5.2,2,Ca,3387,632
259,2021_TNC5.2,2,Ca,3387,632
260,2021_V7.2,2,Ca,3387,632
261,2021_A4.2,2,Ca,3387,632
262,2021_TNC9.2,2,Ca,3387,632
263,2021_TC5.2,2,Ca,3387,632
264,2021_TC8.2,2,Ca,3387,632
265,2021_TST8.0,2,Ca,3387,632
266,2021_TST8.1,2,Ca,3387,632
267,2021_TC4.3,2,Ca,3387,632
268,2021_TNC7.3,2,Ca,3387,632
269,2021_TNC8.5,2,Ca,3387,632
270,2021_A8.1,2,Ca,3387,632
271,2021_TNC9.5,2,Ca,3387,632
272,2021_V7.1,2,Ca,3387,632
273,2021_TC8.0,2,Ca,3387,632
274,2021_TC8.1,2,Ca,3387,632
275,2021_TC9.5,2,Ca,3387,632
276,2021_A9.1,2,Ca,3387,632
277,2021_AC9.1,2,Ca,3387,632
278,2021_AC7.1,2,Ca,3387,632
279,2021_V9.3,2,Ca,3387,632
280,2021_T11.1,2,Ca,3387,632
281,2021_V9.1,2,Ca,3387,632
282,2021_VC5.7,2,Ca,3387,632
283,2021_TNC7.2,2,Ca,3387,632
284,2021_TNC8.3,2,Ca,3387,632
285,2021_TC7.0,2,Ca,3387,632
286,2021_TC7.1,2,Ca,3387,632
287,2021_TC7.5,2,Ca,3387,632
288,2021_VC5.2,2,Ca,3387,632
289,2021_AC4.2,2,Ca,3387,632
290,2021_T8.1,2,Ca,3387,632
291,2021_HC8.1,2,Ca,3387,632
292,2021_T12.1,2,Ca,3387,632
293,2021_TC4.2,2,Ca,3387,632
294,2021_V4.2,2,Ca,3387,632
295,2021_T4.2,2,Ca,3387,632
296,2021_LC9.2,2,Ca,3387,632
297,2021_LC8.2,2,Ca,3387,632
298,2021_TC5.5,2,Ca,3387,632
299,2021_TST9.1,2,Ca,3387,632
300,2021_VC4.3,2,Ca,3387,632
301,"2020_Luyện đề toán 5 lên 6",2,Ca,3387,632
304,"2020_Luyện đề Tiếng Việt 5 lên 6",2,Ca,3387,632
305,2021_LNC7.1,2,Ca,3387,632
306,2021_AC7.3,2,Ca,3387,632
307,2021_AC8.3,2,Ca,3387,632
308,2021_AC8.1,2,Ca,3387,632
309,2021_TC8.1,2,Ca,3387,632
310,2021_AC9.0,2,Ca,3387,632
311,2021_LC8.1,2,Ca,3387,632
312,2021_LNC7.3,2,Ca,3387,632
313,2021_AC8.5,2,Ca,3387,632
314,2021_V8.3,2,Ca,3387,632
315,2021_TNC7.7,2,Ca,3387,632
316,2021_V8.5,2,Ca,3387,632
317,"2021_AC7.3 cũ",2,Ca,3387,632
318,2021_TNC9.7,2,Ca,3387,632
319,2021_TC6.1,2,Ca,3387,632
320,2021_TC6.3,2,Ca,3387,632
321,2021_TC6.5,2,Ca,3387,632
322,2021_TNC6.1,2,Ca,3387,632
323,2021_TNC6.3,2,Ca,3387,632
324,2021_TNC6.5,2,Ca,3387,632
325,2021_T6.1,2,Ca,3387,632
326,2021_AC6.1,2,Ca,3387,632
327,2021_AC6.3,2,Ca,3387,632
328,2021_V6.1,2,Ca,3387,632
329,2021_V6.3,2,Ca,3387,632
330,2021_TNC5.3,2,Ca,3387,632
331,2021_A9.3,2,Ca,3387,632
332,2021_AC5.7,2,Ca,3387,632
333,"2020_Luyện đề Tiếng Anh 5 lên 6",2,Ca,3387,632
334,2021_TNC9.4,2,Ca,3387,632
335,2021_A6.1,2,Ca,3387,632
336,2021_VC4.2,2,Ca,3387,632
337,2021_TST9.2,2,Ca,3387,632
338,2021_TNC5.3,2,Ca,3387,632
339,2021_TNC8.4,2,Ca,3387,632
340,"2020_Luyện đề toán 5 lên 6 (2)",2,Ca,3387,632
341,2021_A9.2,2,Ca,3387,632
342,2021_TC8.2,2,Ca,3387,632
343,2021_TC8.4,2,Ca,3387,632
344,2021_V9.5,2,Ca,3387,632
345,2021_T10.1,2,Ca,3387,632
346,2021_T10.3,2,Ca,3387,632
347,2021_TNC4.3,2,Ca,3387,632
349,2021_TNC3.3,2,Ca,3387,632
350,2021_TNC3.2,2,Ca,3387,632
351,2021_V3.2,2,Ca,3387,632
352,2021_LNC7.2,2,Ca,3387,632
353,2021_TC4.4,2,Ca,3387,632
354,2021_AC6.2,2,Ca,3387,632
355,2021_ANC3.2,2,Ca,3387,632
356,2021_TNC6.2,2,Ca,3387,632
357,2021_TC5.6,2,Ca,3387,632
